Serial Number,Project Name,Project Num,Sector,Vintage,Date of Action,Quantity,CreditType,Credit Status,Comments
FCC-ISL-354-17-14-R-0-2030,Arnaldsstaðir,17,14,2030,,12,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2030,Arnaldsstaðir,17,14,2030,,2,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2030,Arnaldsstaðir,17,14,2030,,2,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2031,Arnaldsstaðir,17,14,2031,,2,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2031,Arnaldsstaðir,17,14,2031,,1,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2031,Arnaldsstaðir,17,14,2031,,131,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2031,Arnaldsstaðir,17,14,2031,,16,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2031,Arnaldsstaðir,17,14,2031,,2,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2031,Arnaldsstaðir,17,14,2031,,1,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2031,Arnaldsstaðir,17,14,2031,,4,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2031,Arnaldsstaðir,17,14,2031,,13,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2031,Arnaldsstaðir,17,14,2031,,2,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2031,Arnaldsstaðir,17,14,2031,,2,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2032,Arnaldsstaðir,17,14,2032,,2,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2032,Arnaldsstaðir,17,14,2032,,2,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2032,Arnaldsstaðir,17,14,2032,,148,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2032,Arnaldsstaðir,17,14,2032,,19,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2032,Arnaldsstaðir,17,14,2032,,2,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2032,Arnaldsstaðir,17,14,2032,,1,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2032,Arnaldsstaðir,17,14,2032,,5,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2032,Arnaldsstaðir,17,14,2032,,15,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2032,Arnaldsstaðir,17,14,2032,,2,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2032,Arnaldsstaðir,17,14,2032,,3,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2033,Arnaldsstaðir,17,14,2033,,3,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2033,Arnaldsstaðir,17,14,2033,,2,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2033,Arnaldsstaðir,17,14,2033,,170,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2033,Arnaldsstaðir,17,14,2033,,21,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2033,Arnaldsstaðir,17,14,2033,,3,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2033,Arnaldsstaðir,17,14,2033,,1,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2033,Arnaldsstaðir,17,14,2033,,5,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2033,Arnaldsstaðir,17,14,2033,,17,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2033,Arnaldsstaðir,17,14,2033,,2,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2033,Arnaldsstaðir,17,14,2033,,3,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2034,Arnaldsstaðir,17,14,2034,,3,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2034,Arnaldsstaðir,17,14,2034,,2,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2034,Arnaldsstaðir,17,14,2034,,194,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2034,Arnaldsstaðir,17,14,2034,,24,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2034,Arnaldsstaðir,17,14,2034,,3,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2034,Arnaldsstaðir,17,14,2034,,1,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2034,Arnaldsstaðir,17,14,2034,,6,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2034,Arnaldsstaðir,17,14,2034,,20,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2034,Arnaldsstaðir,17,14,2034,,3,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2034,Arnaldsstaðir,17,14,2034,,3,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2035,Arnaldsstaðir,17,14,2035,,3,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2035,Arnaldsstaðir,17,14,2035,,2,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2035,Arnaldsstaðir,17,14,2035,,220,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2035,Arnaldsstaðir,17,14,2035,,28,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2035,Arnaldsstaðir,17,14,2035,,4,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2035,Arnaldsstaðir,17,14,2035,,1,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2035,Arnaldsstaðir,17,14,2035,,7,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2035,Arnaldsstaðir,17,14,2035,,22,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2035,Arnaldsstaðir,17,14,2035,,3,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2035,Arnaldsstaðir,17,14,2035,,3,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2036,Arnaldsstaðir,17,14,2036,,4,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2036,Arnaldsstaðir,17,14,2036,,3,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2036,Arnaldsstaðir,17,14,2036,,249,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2036,Arnaldsstaðir,17,14,2036,,31,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2036,Arnaldsstaðir,17,14,2036,,4,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2036,Arnaldsstaðir,17,14,2036,,1,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2036,Arnaldsstaðir,17,14,2036,,7,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2036,Arnaldsstaðir,17,14,2036,,25,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2036,Arnaldsstaðir,17,14,2036,,3,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2036,Arnaldsstaðir,17,14,2036,,3,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2037,Arnaldsstaðir,17,14,2037,,4,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2037,Arnaldsstaðir,17,14,2037,,3,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2037,Arnaldsstaðir,17,14,2037,,276,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2037,Arnaldsstaðir,17,14,2037,,35,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2037,Arnaldsstaðir,17,14,2037,,5,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2037,Arnaldsstaðir,17,14,2037,,1,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2037,Arnaldsstaðir,17,14,2037,,8,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2037,Arnaldsstaðir,17,14,2037,,28,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2037,Arnaldsstaðir,17,14,2037,,4,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2037,Arnaldsstaðir,17,14,2037,,4,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2038,Arnaldsstaðir,17,14,2038,,5,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2038,Arnaldsstaðir,17,14,2038,,3,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2038,Arnaldsstaðir,17,14,2038,,304,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2038,Arnaldsstaðir,17,14,2038,,38,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2038,Arnaldsstaðir,17,14,2038,,5,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2038,Arnaldsstaðir,17,14,2038,,2,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2038,Arnaldsstaðir,17,14,2038,,9,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2038,Arnaldsstaðir,17,14,2038,,31,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2038,Arnaldsstaðir,17,14,2038,,4,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2038,Arnaldsstaðir,17,14,2038,,5,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2039,Arnaldsstaðir,17,14,2039,,5,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2039,Arnaldsstaðir,17,14,2039,,3,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2039,Arnaldsstaðir,17,14,2039,,334,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2039,Arnaldsstaðir,17,14,2039,,42,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2039,Arnaldsstaðir,17,14,2039,,5,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2039,Arnaldsstaðir,17,14,2039,,2,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2039,Arnaldsstaðir,17,14,2039,,10,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2039,Arnaldsstaðir,17,14,2039,,33,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2039,Arnaldsstaðir,17,14,2039,,4,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2039,Arnaldsstaðir,17,14,2039,,5,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2040,Arnaldsstaðir,17,14,2040,,5,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2040,Arnaldsstaðir,17,14,2040,,4,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2040,Arnaldsstaðir,17,14,2040,,356,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2040,Arnaldsstaðir,17,14,2040,,45,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2040,Arnaldsstaðir,17,14,2040,,6,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2040,Arnaldsstaðir,17,14,2040,,2,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2040,Arnaldsstaðir,17,14,2040,,11,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2040,Arnaldsstaðir,17,14,2040,,36,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2040,Arnaldsstaðir,17,14,2040,,5,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2040,Arnaldsstaðir,17,14,2040,,6,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2041,Arnaldsstaðir,17,14,2041,,6,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2041,Arnaldsstaðir,17,14,2041,,4,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2041,Arnaldsstaðir,17,14,2041,,378,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2041,Arnaldsstaðir,17,14,2041,,48,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2041,Arnaldsstaðir,17,14,2041,,6,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2041,Arnaldsstaðir,17,14,2041,,2,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2041,Arnaldsstaðir,17,14,2041,,11,FCC,Ex-ante,
