step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
664,0.0684,0.98537,,
665,0.0348,0.98773,,
666,0.40666,0.91011,,
667,0.41809,0.91016,,
668,0.17888,0.94466,,
669,0.16328,0.94578,,
670,0.06934,0.9893,0.16497,0.96203
671,0.62355,0.88128,,
672,0.13704,0.96875,,
673,0.19808,0.95221,,
674,0.00221,1.0,,
675,0.14175,0.96635,,
676,0.01543,1.0,,
677,0.18304,0.94737,,
678,0.4287,0.88506,,
679,0.07803,0.97156,,
680,0.15727,0.96809,0.09855,0.96933
681,0.15558,0.96591,,
682,0.11082,0.96226,,
683,0.22693,0.95575,,
684,0.08095,0.96842,,
685,0.42122,0.91667,,
686,0.28255,0.9375,,
687,0.15094,0.95745,,
688,0.12473,0.94819,,
689,0.09078,0.96774,,
690,0.07321,0.96875,0.13962,0.97391
691,0.04583,0.98315,,
692,0.13474,0.96491,,
693,0.29173,0.93537,,
694,0.67994,0.83784,,
695,0.0716,0.96835,,
696,0.4306,0.87879,,
697,0.06909,0.97938,,
698,0.10714,0.95932,,
699,0.80209,0.83333,,
700,0.25393,0.93827,0.30561,0.94421
701,0.36282,0.93407,,
702,0.07017,0.97826,,
703,0.3561,0.93897,,
704,0.01524,0.99394,,
705,0.23511,0.96209,,
706,0.35185,0.94146,,
707,0.06701,0.96835,,
708,0.08541,0.97436,,
709,0.25384,0.94907,,
710,0.02232,0.98947,0.09291,0.97044
711,0.09239,0.9802,,
712,0.13642,0.96985,,
713,0.36406,0.92623,,
714,0.23309,0.95652,,
715,0.05256,0.97512,,
716,0.20555,0.95812,,
717,0.40523,0.90681,,
718,0.0379,0.9802,,
719,0.09114,0.96831,,
720,0.22449,0.94444,0.40288,0.92391
721,0.05602,0.97959,,
722,0.37404,0.90948,,
723,0.10631,0.96216,,
724,0.05133,0.99065,,
725,0.23691,0.94361,,
726,0.2037,0.95455,,
727,0.01561,1.0,,
728,0.15975,0.97419,,
729,0.19052,0.95378,,
730,0.45415,0.91566,0.03644,0.99432
731,0.05865,0.98403,,
732,0.4047,0.90854,,
733,0.25037,0.92073,,
734,0.32406,0.91111,,
735,0.31255,0.92857,,
736,0.30267,0.93706,,
737,0.10954,0.97354,,
738,0.19397,0.95382,,
739,0.38371,0.92478,,
740,0.0942,0.96875,0.27594,0.9375
741,0.35109,0.94393,,
742,0.18635,0.95522,,
743,0.10196,0.97436,,
744,0.15119,0.94375,,
745,0.05048,0.99468,,
746,0.01581,0.99248,,
747,0.44116,0.87975,,
748,0.23931,0.95146,,
