step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
964,0.01164,0.99479,,
965,0.49321,0.91089,,
966,1.05388,0.81788,,
967,3e-05,1.0,,
968,0.0,1.0,,
969,1.11981,0.7967,,
970,1e-05,1.0,,
971,1.48361,0.73242,,
972,0.0,1.0,,
973,0.35469,0.93564,,
974,0.42874,0.92683,,
975,0.0,1.0,,
976,0.39447,0.93137,,
977,0.3994,0.92857,,
978,1.87231,0.68889,,
979,0.816,0.83663,,
980,0.49534,0.8804,,
981,0.04628,0.99099,,
982,1.02004,0.8245,,
983,0.0,1.0,,
984,0.11392,0.98039,,
985,0.00338,1.0,,
986,0.0,1.0,,
987,0.0033,1.0,,
988,1.44598,0.72647,,
989,0.04364,0.98039,,
990,0.45186,0.89701,,
991,0.53166,0.89381,,
992,0.0,1.0,,
993,0.0,1.0,,
994,1.13227,0.79412,,
995,0.50406,0.91964,,
996,0.59549,0.91176,,
997,0.0032,1.0,,
998,0.0,1.0,,
999,0.0,1.0,,
